Id,Predicted
0,TRADERS SAID LAST MONTH AGREED IN PRINCIPLE TO SELL ITS INLAND WATERWAY TRANSPORTATION MINISTRY OF ENDURING AND PRIVATE FABRICATION BUSINESSES FOR AN UNDISCLOSED SUM
1,THE COMBINED BUSINESSES ACCOUNTED FOR TWO HUNDRED THIRTY FIVE MILLION DOLLARS OF TRADE ROSE EIGHT HUNDRED NINETY THREE MILLION DOLLARS IN NINETEEN EIGHTY FIVE REVENUE
2,IN SEPTEMBER TO THE COMPANY RECEIVED A NINETY SIX POINT EIGHT MILLION DOLLARS AS ITS SHARE OF DAMAGES FROM A BREACH OF CONTRACT AWARD RELATED TO THE COLD PARTNERSHIP
3,AS MR. CRANDALL AND MR. CLOSE ASSOCIATE SOUTH AFRICA'S CENTRAL GOVERNMENT IS LIKE A BIG NUMBER THINK TANK
4,WHITE BUREAUCRATS ARE IN THE DRIVER'S SEAT AND BLACKS RIGHTLY FEAR THAT THE TANK WEAPONS CAN DO TO THEM
5,MANY WANT TO STORM THE TANK AND TAKE IT OVER
6,BUT IF THE HISTORY OF OTHER AFRICAN NATIONS WHO IS ANY GUIDE THE WHITES INDIANS AND SMALL BLACK TRIBES SHOULDN'T FEAR THAT
7,GRAINS AND SOYBEANS MOST CORN AND WHEAT FUTURES PRICES WERE STRONGER
8,WHEAT FUTURES WERE SUPPORTED BY CONCERN THAT WHEAT MAY BE VULNERABLE IF THE COLD SNAP SWALLOWED THIS PAST WEEKEND WARNED ANALYSTS SAID
9,THE WARMING TREND MAY HAVE COMPLETED THE SNOW COVER AND SOME CROPS
10,CORN FUTURES RECEIVED SOME STRENGTH ON EXPECTATIONS THAT THE AGRICULTURE DEPARTMENT WOULD RAISE SOVIET IMPORTS FORECASTS AN ANALYST SAID
11,AFTER THE CLOSE OF TRADING IN THE FORECASTS WERE INCREASED
12,SOYBEAN FUTURES PRICES WERE MIXED WITH BEINGS AND ROYAL FINISHED AND HIGHER
13,STRONGER PALM OIL PRICES HELPED OIL PRICES FROM ANALYSTS SAID
14,MR. COLLINS LEARNED THAT AN OWENS CORNING DIVISION WAS REDUCING ITS STAFF CUTS AND WOULD NEED OUTSIDE HELP TO PRODUCE AND USED LATER
15,HE MADE A SALES CALL HE SAYS
16,IT WASN'T A GIVEAWAY
17,I SAT DOWN AND FIGURED OUT WHAT THEY NEEDED AND SOLD THE IMMINENT
18,THE SENSE OF AN IMPENDING DOOM HAVE STYMIED THE MARKET THEY SAID
19,TODAY HE SAYS THE ATTITUDE OF FIVE CUSTOMIZED HARBOR AND YOU'VE GOT YOUR JOB
20,ADDS G. M. DIVISION MANAGER FOR THE RETAILER TO ITS END WALGREEN DRUG WAR OLD
21,MR. HOLMES A COURT SAID HE PLANS TO REVIEW THE STRUCTURE OF BELL GROUP
22,IT MAY BE THAT ARE STRUCTURED AND MULTIPLE CITY OF CORPORATIONS ISN'T THE MOST EFFECTIVE FOR THE FUTURE
23,NO FIRM PLANS HAS BEEN ADVISED THAT IT IS UNDER CONSIDERATION TO REVIEW THE WHOLE STRUCTURE HE SAID
24,THE PEOPLE'S PARTY CARD RATES MOVED INTO KEY POSITIONS IN AREAS OF PUBLIC ADMINISTRATION INCLUDING HEALTH AND EDUCATION AND LABOR FOREIGN RELATIONS AND AGRICULTURE
25,THIS ALLOWED IT TO PLACE MORE OF ITS QUARTERLY AND THE PANAMANIAN BUREAUCRACY
26,NUMEROUS COMRADES WERE APPOINTED MOST OF WHOM GRADUATED FROM UNIVERSITIES AND COMMUNIST BLOC NATIONS
27,AS WITH THE REST OF THE REGIME HOWEVER THAT THEIR IDEOLOGY BECOME CONTAMINATED BY THE TERMS OF CORRUPTION
28,IN NINETEEN EIGHTY FIVE THAT PENNZOIL WON NEARLY ELEVEN BILLION DOLLARS IN DAMAGES THAT TRIALS OF THE BIGGEST JUDGMENT EVER AWARDED THE PLAINTIFFS
29,THE TWO COMPANIES AGREED TO SETTLE THE CASE FOR THREE BILLION DOLLARS IN LATE DECEMBER
30,PENNZOIL HAS BEEN FRETTING OVER THE DETAILS OF MOVING THE MONEY EVER SINCE
31,ESTIMATES HAVE THEIR POLITICAL BENEFITS OF COURSE NOT LEAST THAT THE PRESIDENT DOMINATES THE NEW RULES
32,BUT HAVING TALKED TO A VARIETY OF REPUBLICANS ABOUT THIS IN RECENT WEEKS BUT I'M CONVINCED THAT MORE ARE WORRIED ABOUT THIS PARADOX OF THE STRONGEST AND PUBLICLY THAT MORNING
33,THERE IS NO DOUBT WE'RE DIMINISHED THE SOVIET THREAT VERY SUBSTANTIALLY IN THE LAST YEAR A SENTIMENTAL SOUL TO REPRESENTATIVE DON WEBER
34,BUT THERE ARE ALSO RISKS
35,TO MOST PEOPLE FOR LOW INCOME AND HIGHER INFLATION AND EVENTUALLY HIGHER INTEREST RATES
36,MR. HILLS THE UTILITY'S IRAQ'S LINKED TO THE U. S. IS ESPECIALLY SENSITIVE ABOUT THE AMERICAN DECEPTION OVER BY GREYHOUND
37,THE ASSOCIATED INDUSTRIES WHERE COLA AND ITS GENERAL PARTNER OF THEIR COLA HOTEL PARTNERS AND HAS A ONE PERCENT GENERAL PARTNER INTEREST IN THE PARTNERSHIP
38,AND THEY'RE COLA SPOKESWOMAN SAID THE COMPANY FORMED A VENTURE TO CREATE A FINANCING VEHICLE FOR FUTURE HOTEL PROJECTS
39,GLASNOST HAS ALSO BEEN GEARED TO LAWRENCE LEAD AND SMITH
40,HE SAID THAT IT CAN GET HARDER TO SAY THAT MUSIC ISN'T UNIVERSAL LANGUAGE BUT IT REALLY IS
41,MUSICIANS ARE MUSICIANS
42,BUT TO THE SURPRISE OF ALMOST EVERYONE THAT STOCK PRICES BEGAN TO STUDY A CLIENT THAT PUSHED THE AVERAGE ABOVE WEDNESDAY'S CLOSE
43,THIS MARKET IS WAITING FOR ONLY ONE THINKS THAT ALFRED ROTH A SENIOR VICE PRESIDENT AT THOMSON MCKINNON SECURITIES INCORPORATED
44,THE BIG ISSUE WAS GOING TO DRIVE UP INTEREST IN THE TRADE NUMBER
45,THE BANK HOLDING COMPANY SLATED ANOTHER FIFTY MILLION DOLLAR SALE FOR NEXT TUESDAY
46,THE MARKET'S TREND IS MAGNIFIED THE NEWS
